"","area","heat"
"767","010585893166","313.511833158648"
"768","010585893173","293.812370894612"
"769","010585893174","318.599522378612"
"770","010590045045","315.269965317475"
"771","010590075075","320.921461904624"
"772","010590113113","317.621045665488"
"773","010590120120","315.766105494346"
"774","010590183183","308.753942384664"
"775","010595912107","309.683201200883"
"776","010595912128","326.077374050015"
"777","010595912131","322.941939581591"
"778","010595912132","312.312139765265"
"779","010595912138","314.57706562954"
"780","010595912162","292.427407872442"
"781","010595912169","334.831850854825"
"782","010595912174","316.061306394651"
"783","010595915012","318.867312844452"
"784","010595915018","311.488095325201"
"785","010595915019","318.800133324936"
"786","010595915026","310.879535334148"
"787","010595915032","320.743614934664"
"788","010595915043","310.579634571318"
"790","010595915078","312.876242656881"
"791","010595919101","312.427092113094"
"792","010595919103","305.436413220971"
"793","010595919116","316.260772070246"
"794","010595919126","309.926896547834"
"795","010595919127","313.673114042739"
"796","010595919141","301.573827057523"
"797","010595919182","307.731771083532"
"798","010595920002","309.926602130161"
"800","010595920067","309.771941737693"
"801","010595920068","307.089397934553"
"802","010595937106","321.000767245343"
"803","010595937118","307.23728545572"
"804","010595937137","327.193152494054"
"805","010595937145","310.5698821793"
"806","010595937157","307.834239359868"
"807","010595937176","307.717929428894"
"808","010595937178","315.122079321278"
"809","010595940159","324.903122000282"
"810","010595940171","322.362625100151"
"811","010595940184","303.07137510064"
"812","010595949038","327.000837443596"
"813","010595949069","337.24002811442"
"814","010595949071","307.41406240719"
"815","010595949076","321.241840303683"
"816","010595949161","319.185977183407"
"818","010595952115","317.935150487648"
"819","010595952123","324.232604906713"
"820","010595952124","324.470356250941"
"821","010595952129","367.430590235052"
"822","010595952143","305.106589296171"
"823","010595952144","322.093457647789"
"824","010595952149","336.753874406849"
"825","010595952151","308.850921446612"
"826","010595952158","314.986209808746"
"827","010595952173","330.441964455451"
"828","010595952177","300.046849296514"
"829","010595952179","317.607563063887"
"830","010595974006","310.569231530807"
"831","010595974011","300.788332752813"
"832","010595974014","317.224878476369"
"833","010595974021","308.564862107592"
"834","010595974022","308.330538382601"
"835","010595974047","326.760556197304"
"836","010595974055","280.621429059249"
"837","010595974060","321.933223851072"
"838","010595974063","309.731039696179"
"840","010595974070","314.303712161703"
"841","010595974072","337.923338535327"
"842","010595974074","328.806723842097"
"843","010595974074","328.806723842097"
"844","010595974074","328.806723842097"
"845","010595974074","328.806723842097"
"846","010595974074","328.806723842097"
"847","010595974074","328.806723842097"
"848","010595974074","328.806723842097"
"849","010595974074","328.806723842097"
"850","010595974080","313.978613395245"
